instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
ESW Real - Mallet Toy Bell WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Mallet Toy Bell.wav	Echo Sound Works Core (free pack)	1.006	1.000	-4.683	0.001	0.999	1.425	0.000
ESW Real - Nylon Guitar WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Nylon Guitar.wav	Echo Sound Works Core (free pack)	1.010	0.991	-2.951	0.018	0.991	1.520	0.000
ESW Real - Pan Flue WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Pan Flue.wav	Echo Sound Works Core (free pack)	1.050	0.998	-4.143	0.018	0.978	1.459	0.003
ESW Real - Pizzo String WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Pizzo String.wav	Echo Sound Works Core (free pack)	1.038	0.976	-5.101	0.000	0.974	1.551	0.000
ESW Real - Rhodes Wurli WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Rhodes Wurli.wav	Echo Sound Works Core (free pack)	1.160	0.850	-4.165	0.001	0.849	1.845	0.001
ESW Real - ST Cello Solo WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - ST Cello Solo.wav	Echo Sound Works Core (free pack)	2.209	0.777	-3.591	0.001	0.551	2.068	0.003
ESW Real - Vibraphone WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Vibraphone.wav	Echo Sound Works Core (free pack)	1.001	1.000	-3.100	0.011	1.000	1.414	0.002
ESW Real - Violin WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Violin.wav	Echo Sound Works Core (free pack)	1.321	0.920	-4.858	0.000	0.906	1.714	0.001
ESW Real - World Mibira WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - World Mibira.wav	Echo Sound Works Core (free pack)	1.009	0.993	-4.310	0.003	0.992	1.491	0.002
ESW Spectral - Quesis WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Quesis.wav	Echo Sound Works Core (free pack)	5.129	0.798	-0.998	0.084	0.665	2.370	0.012
ESW Spectral - Vectors WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Vectors.wav	Echo Sound Works Core (free pack)	5.673	0.953	-1.534	0.079	0.727	2.075	0.024
ESW Vocal - 80_s 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - 80's 01.wav	Echo Sound Works Core (free pack)	1.704	0.924	-3.058	0.000	0.855	2.063	0.002
ESW Vocal - Ayee Ahh 02 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Ayee Ahh 02.wav	Echo Sound Works Core (free pack)	4.345	0.852	-2.029	0.014	0.751	2.353	0.008
ESW Vocal - Cheap Choir 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Cheap Choir 01.wav	Echo Sound Works Core (free pack)	1.721	0.802	-2.909	0.000	0.758	2.104	0.003
ESW Vocal - Digital Choir 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Choir 01.wav	Echo Sound Works Core (free pack)	1.381	0.705	-4.449	0.001	0.695	1.801	0.001
ESW Vocal - Digital Choir 03 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Choir 03.wav	Echo Sound Works Core (free pack)	1.476	0.739	-3.437	0.076	0.666	1.914	0.002
ESW Vocal - Digital Mouth WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Mouth.wav	Echo Sound Works Core (free pack)	1.494	0.824	-3.045	0.130	0.792	1.962	0.002
ESW Vocal - Digital Throat WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Throat.wav	Echo Sound Works Core (free pack)	2.073	0.874	-2.324	0.200	0.832	1.687	0.001
ESW Vocal - Fairlight 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Fairlight 01.wav	Echo Sound Works Core (free pack)	1.403	0.931	-2.686	0.065	0.865	1.949	0.002
ESW Vocal - Guttural WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Guttural.wav	Echo Sound Works Core (free pack)	3.029	0.788	-3.063	0.033	0.545	2.138	0.003
ESW Vocal - Summer WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Summer.wav	Echo Sound Works Core (free pack)	1.590	0.906	-4.127	0.001	0.832	2.185	0.001
ESW Vocal - Throaty 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Throaty 01.wav	Echo Sound Works Core (free pack)	2.152	0.903	-3.889	0.013	0.832	2.156	0.003
ESW Vocal - Voxus WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Voxus.wav	Echo Sound Works Core (free pack)	1.604	0.858	-2.162	0.002	0.795	1.950	0.003
Electronic Kitten WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Electronic Kitten.vital	other	1.332	1.000	-5.388	0.000	0.869	1.230	0.003
Evolver WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Evolver.vital	other	5.450	0.998	-3.883	0.002	0.634	2.088	0.009
FAIRLI01 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FAIRLI01.vitaltable	WaveEdit Online (CC0)	1.194	0.932	-4.440	0.021	0.918	1.591	0.021
FF - Yippie YA WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Growl 2 - Talking Yoi/Presets/FF - Yippie YA.vital	user/Discord presets (third-party)	1.358	0.926	-2.827	0.029	0.892	1.978	0.003
FLC SNARE value as of current WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FLC SNARE value as of current.vital	other	1.008	0.997	-4.491	0.005	0.993	1.451	0.002
FM Beauty WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FM Beauty.vital	other	1.467	0.985	-3.480	0.006	0.888	1.442	0.002
FM Saw WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Freq Mod(Not PM)/FM Saw.vitaltable	Kimura Taro (CC0)	1.654	0.800	-4.040	0.004	0.696	1.437	0.003
FM Solo Cello WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FM Solo Cello.vital	other	1.000	1.000	-3.318	0.000	1.000	1.414	0.002
FM Sq WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Freq Mod(Not PM)/FM Sq.vitaltable	Kimura Taro (CC0)	2.325	0.801	-3.798	0.002	0.574	1.420	0.004
FMPad WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/FMPad.vitaltable	Kimura Taro (CC0)	2.598	0.792	-3.994	0.002	0.755	1.877	0.005
FOLDFEED WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FOLDFEED.vitaltable	WaveEdit Online (CC0)	1.393	0.948	-2.917	0.064	0.854	1.680	0.019
FX - Jumpstart my UFO WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FX - Jumpstart my UFO.vital	other	1.215	1.000	-3.553	0.008	0.919	1.496	0.002
FX - Wheel Up WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FX - Wheel Up.vital	other	3.546	1.000	-2.009	0.000	0.811	1.004	0.001
Fat Sin Sub 57 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Wavetables/Fat Sin Sub 57.vitaltable	user/Discord presets (third-party)	4.044	0.875	-2.788	0.000	0.709	1.073	0.001
Fat Sin Sub 7 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Wavetables/Fat Sin Sub 7.vitaltable	user/Discord presets (third-party)	4.044	0.875	-2.788	0.000	0.709	1.073	0.001
Ferine MultiOSC IcarusPD WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Ferine/Ferine MultiOSC IcarusPD.vitaltable	Kimura Taro (CC0)	2.638	0.864	-2.110	0.089	0.727	1.843	0.003
FerineTRi WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Ferine/FerineTRi.vitaltable	Kimura Taro (CC0)	1.248	0.882	-2.676	0.009	0.875	1.714	0.002
Folding6 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Folding/Folding6.vitaltable	Kimura Taro (CC0)	11.609	1.000	-2.125	0.000	0.685	2.186	0.010
GEOMETRI WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GEOMETRI.vitaltable	WaveEdit Online (CC0)	2.583	1.000	-1.682	0.192	0.837	1.805	0.061
Garage Bass Detuned Attempt 4 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Garage Bass Detuned Attempt 4.vital	user/Discord presets (third-party)	4.044	0.847	-2.788	0.000	0.709	1.073	0.001
Gotta Have It WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Gotta Have It.vital	other	2.282	0.768	-2.490	0.011	0.636	2.011	0.002
Grower Wubby Reggae Digi Thing 2 Wide Fuzz 2 submono wubwubwubdown 3 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Grower Wubby Reggae Digi Thing 2 Wide Fuzz 2 submono wubwubwubdown 3.vital	user/Discord presets (third-party)	4.044	0.875	-2.788	0.012	0.709	1.073	0.001
HARMONIO WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HARMONIO.vitaltable	WaveEdit Online (CC0)	2.508	0.807	-3.769	0.000	0.531	1.840	0.042
HARMONIX WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HARMONIX.vitaltable	WaveEdit Online (CC0)	6.763	0.812	-2.193	0.105	0.616	2.249	0.077
HIGH_FRE WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HIGH_FRE.vitaltable	WaveEdit Online (CC0)	2.950	0.726	-1.819	0.073	0.720	1.794	0.036
HMMMMMMM WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HMMMMMMM.vitaltable	WaveEdit Online (CC0)	2.236	0.809	-3.914	0.078	0.648	1.901	0.025
HORROR WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HORROR.vitaltable	WaveEdit Online (CC0)	3.305	0.750	-3.258	0.033	0.608	2.473	0.015
HYPERBOL WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HYPERBOL.vitaltable	WaveEdit Online (CC0)	8.135	0.900	-4.972	0.000	0.527	1.897	0.147
Half Clip5 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Half Clip/Half Clip5.vitaltable	Kimura Taro (CC0)	1.050	0.969	-4.106	0.002	0.962	1.698	0.001
Halftime Crispy Clean Thick WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Halftime Crispy Clean Thick.vital	user/Discord presets (third-party)	4.044	0.875	-2.788	0.000	0.709	1.073	0.001
Halftime Crispy Clean WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Halftime Crispy Clean.vital	user/Discord presets (third-party)	4.044	0.875	-2.788	0.000	0.709	1.073	0.001
Hammond via YouTube 2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Hammond via YouTube 2.vital	user/Discord presets (third-party)	4.044	0.766	-2.788	0.000	0.695	1.073	0.001
Hammond via YouTube 5 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Hammond via YouTube 5.vital	user/Discord presets (third-party)	4.044	0.864	-2.788	0.000	0.709	1.073	0.001
Hard Techno Kick With Rumble WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Hard Techno Kick With Rumble.vital	other	1.000	1.000	-3.267	0.000	1.000	1.414	0.002
Hardstyle kick WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Hardstyle kick.vital	other	2.833	0.867	-2.188	0.013	0.626	1.984	0.002
Here You Go WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Here You Go.vital	other	1.089	1.000	-3.608	0.001	0.960	1.190	0.002
ITERATIV WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ITERATIV.vitaltable	WaveEdit Online (CC0)	2.733	0.833	-2.790	0.136	0.734	1.497	0.062
Ignore This WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Ignore This.vital	user/Discord presets (third-party)	1.931	0.997	-3.636	0.014	0.805	1.399	0.003
Jungle Bass WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Jungle Bass.vital	user/Discord presets (third-party)	4.044	0.875	-2.788	0.000	0.709	1.073	0.001
Junky Cymbal WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Junky Cymbal.vital	other	1.374	1.000	-3.068	0.000	0.938	1.622	0.007
Just Do it WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Just Do it.vital	other	6.268	0.997	-1.988	0.017	0.681	2.720	0.009
Just One OSC WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Just One OSC.vital	other	3.471	0.830	-2.026	0.009	0.647	2.503	0.004
KD Shaper1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devices shaper/KD Shaper1.vitaltable	Kimura Taro (CC0)	7.133	0.998	-1.587	0.003	0.728	1.747	0.017
KD Shaper2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devices shaper/KD Shaper2.vitaltable	Kimura Taro (CC0)	1.358	0.998	-2.794	0.003	0.936	1.278	0.002
KD Shaper3 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devices shaper/KD Shaper3.vitaltable	Kimura Taro (CC0)	1.743	0.935	-2.030	0.006	0.908	1.543	0.003
Key - NEO Hammondian WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Key - NEO Hammondian.vital	other	1.276	0.968	-5.707	0.000	0.968	1.691	0.003
Keys - After Dark WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - After Dark.vital	other	1.092	0.952	-5.395	0.001	0.934	1.678	0.001
Keys - Crusha WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Crusha.vital	other	1.334	0.762	-5.462	0.001	0.736	2.012	0.002
Keys - Goodies WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Goodies.vital	other	1.360	0.734	-3.994	0.001	0.720	1.996	0.001
Keys - Wannab Future Bass WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Wannab Future Bass.vital	other	4.010	0.968	-1.539	0.039	0.724	1.814	0.006
Keystation WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Factory Presets/Presets/Keystation.vital	other	3.546	1.000	-2.295	0.000	0.811	1.000	0.000
Kick Dub Base WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Kick Dub Base.vital	user/Discord presets (third-party)	4.044	0.871	-2.788	0.000	0.709	1.073	0.001
KorgM1Organ WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/KorgM1Organ.vital	other	1.198	0.802	-4.309	0.000	0.802	1.642	0.002
LD - Bassraiders _V1_ WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/LD - Bassraiders _V1_.vital	other	4.409	0.722	-1.936	0.006	0.606	2.849	0.003
LD - Bassraiders _V2_ WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/LD - Bassraiders _V2_.vital	other	4.409	0.722	-1.936	0.006	0.606	2.849	0.003
LSDJ_WAV WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/LSDJ_WAV.vitaltable	WaveEdit Online (CC0)	2.917	0.977	-3.273	0.123	0.763	1.646	0.049
Laughing Plastic WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Laughing Plastic.vital	other	1.308	0.969	-2.185	0.195	0.955	1.930	0.001
Lazer Tazer WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lazer Tazer.vital	other	1.277	1.000	-1.420	0.016	0.971	1.361	0.002
Lead - Trap Classics WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lead - Trap Classics.vital	other	1.063	0.998	-3.945	0.014	0.975	1.573	0.002
Legend WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Legend.vital	other	2.313	0.814	-2.731	0.009	0.723	1.662	0.002
Long Time Coming WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Long Time Coming.vital	other	1.491	0.921	-2.331	0.094	0.900	2.175	0.001
Low-mid Simplicity WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/misc/Presets/Low-mid Simplicity.vital	other	4.044	0.857	-2.748	0.000	0.709	1.207	0.001
M1 AirVox WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 AirVox.vitaltable	Kimura Taro (CC0)	2.247	0.810	-2.669	0.004	0.673	2.132	0.003
MICROBRU WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MICROBRU.vitaltable	WaveEdit Online (CC0)	1.070	0.998	-4.131	0.017	0.973	1.380	0.016
MIXED02 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MIXED02.vitaltable	WaveEdit Online (CC0)	3.662	0.962	-2.114	0.020	0.390	2.231	0.046
MP P25-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MP P25-PS2.vitaltable	Kimura Taro (CC0)	2.509	0.769	-2.172	0.037	0.685	1.865	0.001
MP Saw-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MP Saw-PS2.vitaltable	Kimura Taro (CC0)	2.331	0.867	-2.330	0.036	0.776	1.837	0.002
MP Square-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MP Square-PS2.vitaltable	Kimura Taro (CC0)	1.905	1.000	-1.547	0.040	0.877	1.355	0.002
MP Tri-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MP Tri-PS2.vitaltable	Kimura Taro (CC0)	1.008	1.000	-3.803	0.004	0.997	1.492	0.001
MS 20 Pulse2 PS1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MS 20 Pulse2 PS1.vitaltable	Kimura Taro (CC0)	2.701	1.000	-1.346	0.099	0.755	1.633	0.002
MS 20 Pulse2-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MS 20 Pulse2-PS2.vitaltable	Kimura Taro (CC0)	2.224	1.000	-1.412	0.084	0.867	1.535	0.002
MS 20 Saw-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MS 20 Saw-PS2.vitaltable	Kimura Taro (CC0)	3.564	0.825	-2.103	0.158	0.705	2.277	0.001
MS 20 Square PS1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MS 20 Square PS1.vitaltable	Kimura Taro (CC0)	3.194	1.000	-1.258	0.167	0.732	1.798	0.002
MS 20 Square-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MS 20 Square-PS2.vitaltable	Kimura Taro (CC0)	2.604	1.000	-1.333	0.142	0.853	1.685	0.002
MS 20 Tri PS1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MS 20 Tri PS1.vitaltable	Kimura Taro (CC0)	1.050	0.994	-2.700	0.038	0.985	2.040	0.001
MS 20 Tri-PS2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift2/MS 20 Tri-PS2.vitaltable	Kimura Taro (CC0)	1.031	0.997	-2.707	0.033	0.993	1.648	0.001
MSelfFB02 DN WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MSelfFB/MSelfFB02 DN.vitaltable	Kimura Taro (CC0)	1.565	0.996	-3.513	0.008	0.898	1.751	0.002
Manufactured WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Manufactured.vital	other	1.962	0.999	-1.379	0.070	0.869	1.447	0.002
Mbox WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Mbox.vital	other	4.044	0.866	-2.788	0.000	0.709	1.073	0.001
Melodica WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Melodica.vital	other	3.272	1.000	-5.428	0.000	0.243	1.373	0.007
Middiecute Chord WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Middiecute Chord.vital	user/Discord presets (third-party)	4.044	0.869	-2.788	0.000	0.709	1.073	0.001
Minor Unison Pad WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Minor Unison Pad.vital	other	2.597	0.719	-2.160	0.003	0.638	2.588	0.002
MonoPoly P25 PS1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MonoPoly P25 PS1.vitaltable	Kimura Taro (CC0)	3.020	0.701	-2.126	0.043	0.561	1.383	0.001
MonoPoly Saw PS1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MonoPoly Saw PS1.vitaltable	Kimura Taro (CC0)	2.835	0.813	-2.329	0.041	0.646	1.793	0.002
MonoPoly Square PS1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MonoPoly Square PS1.vitaltable	Kimura Taro (CC0)	2.301	1.000	-1.475	0.049	0.765	1.447	0.002
MonoPoly Tri PS1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Korg Analog  Synth PhaseShift1/MonoPoly Tri PS1.vitaltable	Kimura Taro (CC0)	1.016	1.000	-3.681	0.005	0.994	1.387	0.001
MultiPhase SQ WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MultiPhase OSC/MultiPhase SQ.vitaltable	Kimura Taro (CC0)	3.263	1.000	-2.002	0.094	0.768	1.573	0.003
MultiPhase Sine4bit WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MultiPhase OSC/MultiPhase Sine4bit.vitaltable	Kimura Taro (CC0)	1.309	1.000	-1.489	0.081	0.995	1.566	0.006
MultiPhaseSaw WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MultiPhase OSC/MultiPhaseSaw.vitaltable	Kimura Taro (CC0)	4.939	0.742	-1.968	0.008	0.578	2.286	0.004
Next Years Riser WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Next Years Riser.vital	other	2.091	0.761	-2.990	0.136	0.678	1.906	0.001
Noise Pan Fall Rhythm Generator WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Noise Pan Fall Rhythm Generator.vital	user/Discord presets (third-party)	4.044	0.874	-2.788	0.000	0.709	1.073	0.001
Noisey Highmid Lead Sub2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Noisey Highmid Lead Sub2.vital	user/Discord presets (third-party)	4.044	0.838	-2.788	0.000	0.709	1.073	0.001
Noisey Midlead WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Noisey Midlead.vital	user/Discord presets (third-party)	4.044	0.875	-2.788	0.000	0.709	1.073	0.001
OP1 Digital01 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital01.vitaltable	Kimura Taro (CC0)	1.556	0.821	-2.527	0.007	0.744	1.994	0.003
OP1 Digital06 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital06.vitaltable	Kimura Taro (CC0)	7.560	0.999	-1.076	0.008	0.438	2.802	0.005
OP1 DrWave06 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave06.vitaltable	Kimura Taro (CC0)	1.706	0.972	-2.057	0.007	0.904	2.242	0.002
OP1 DrWave07 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 DrWave07.vitaltable	Kimura Taro (CC0)	1.818	0.937	-2.085	0.009	0.874	2.718	0.001
